Study area,Region.Label,Area,Sample.Label,Effort,distance,size,object,observer,detected,side,exp,fatigue,gscat,vis,glare,ssmi,altitude,obsname
Nominal_area,1,1000000,99A23,57.5,666.53,1,54592,2,1,L,41,134.46,1,G,N,77,36.9608,MH
Nominal_area,1,1000000,99A23,57.5,368.91,2,54593,1,0,L,252.7,135.41,2,G,N,77,36.9608,MF
Nominal_area,1,1000000,99A23,57.5,368.91,2,54593,2,1,L,41,135.41,2,G,N,77,36.9608,MH
Nominal_area,1,1000000,99A24,64.1,475.67,1,54598,1,0,L,278.9,143.26,1,G,N,85,36.26062,MF
Nominal_area,1,1000000,99A24,64.1,475.67,1,54598,2,1,L,67.2,143.26,1,G,N,85,36.26062,MH
Nominal_area,1,1000000,99A24,64.1,527.73,1,54599,1,0,L,278.9,143.43,1,G,N,85,36.26062,MF
Nominal_area,1,1000000,99A24,64.1,527.73,1,54599,2,1,L,67.2,143.43,1,G,N,85,36.26062,MH
Nominal_area,1,1000000,99A24,64.1,275.37,3,54600,1,1,L,278.9,143.43,3,G,N,85,36.26062,MF
Nominal_area,1,1000000,99A24,64.1,275.37,3,54600,2,1,L,67.2,143.43,3,G,N,85,36.26062,MH
Nominal_area,1,1000000,99A24,64.1,523.73,1,54602,1,1,L,278.9,144.11,1,G,N,85,36.26062,MF
Nominal_area,1,1000000,99A24,64.1,523.73,1,54602,2,1,L,67.2,144.11,1,G,N,85,36.26062,MH
Nominal_area,1,1000000,99A24,64.1,251.4,1,54604,1,0,L,278.9,144.86,1,G,N,85,36.0935,MF
Nominal_area,1,1000000,99A24,64.1,251.4,1,54604,2,1,L,67.2,144.86,1,G,N,85,36.0935,MH
Nominal_area,1,1000000,99A24,64.1,104.37,1,54606,1,1,L,278.9,145.34,1,G,N,85,36.0935,MF
Nominal_area,1,1000000,99A24,64.1,104.37,1,54606,2,1,L,67.2,145.34,1,G,N,85,36.0935,MH
Nominal_area,1,1000000,99A24,64.1,114.22,1,54609,1,1,L,278.9,146.05,1,G,N,85,35.98203,MF
Nominal_area,1,1000000,99A24,64.1,114.22,1,54609,2,1,L,67.2,146.05,1,G,N,85,35.98203,MH
Nominal_area,1,1000000,99A24,64.1,197.67,1,54611,1,1,R,67.2,146.43,1,G,N,85,35.98203,YH
Nominal_area,1,1000000,99A24,64.1,197.67,1,54611,2,1,R,245.1,146.43,1,G,N,85,35.98203,HZ
Nominal_area,1,1000000,99A24,64.1,470.53,1,54612,1,1,L,278.9,146.88,1,G,N,85,35.98203,MF
Nominal_area,1,1000000,99A24,64.1,470.53,1,54612,2,1,L,67.2,146.88,1,G,N,85,35.98203,MH
Nominal_area,1,1000000,99A24,64.1,525.68,1,54613,1,1,R,67.2,147.4,1,G,N,85,35.98203,YH
Nominal_area,1,1000000,99A24,64.1,525.68,1,54613,2,0,R,245.1,147.4,1,G,N,85,35.98203,HZ
Nominal_area,1,1000000,99A24,64.1,435.42,1,54615,1,1,L,278.9,148.56,1,G,N,85,35.72855,MF
Nominal_area,1,1000000,99A24,64.1,435.42,1,54615,2,0,L,67.2,148.56,1,G,N,85,35.72855,MH
Nominal_area,1,1000000,99A24,64.1,283.63,1,54616,1,1,R,67.2,148.85,1,G,N,85,35.72855,YH
Nominal_area,1,1000000,99A24,64.1,283.63,1,54616,2,1,R,245.1,148.85,1,G,N,85,35.72855,HZ
Nominal_area,1,1000000,99A24,64.1,23.78,1,54617,1,1,R,67.2,152.48,1,G,N,70,35.42373,YH
Nominal_area,1,1000000,99A24,64.1,23.78,1,54617,2,1,R,245.1,152.48,1,G,N,70,35.42373,HZ
Nominal_area,1,1000000,99A24,64.1,121.67,1,54619,1,1,R,67.2,153.7,1,G,N,70,35.42373,YH
Nominal_area,1,1000000,99A24,64.1,121.67,1,54619,2,1,R,245.1,153.7,1,G,N,70,35.42373,HZ
Nominal_area,1,1000000,99A24,64.1,238.07,1,54620,1,1,L,278.9,155.65,1,G,N,70,35.22045,MF
Nominal_area,1,1000000,99A24,64.1,238.07,1,54620,2,1,L,67.2,155.65,1,G,N,70,35.22045,MH
Nominal_area,1,1000000,99A24,64.1,420.06,1,54621,1,0,L,278.9,157.91,1,G,N,70,35.01741,MF
Nominal_area,1,1000000,99A24,64.1,420.06,1,54621,2,1,L,67.2,157.91,1,G,N,70,35.01741,MH
Nominal_area,1,1000000,99A24,64.1,547.23,1,54624,1,1,L,278.9,159.03,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,547.23,1,54624,2,0,L,67.2,159.03,1,G,N,70,34.82533,MH
Nominal_area,1,1000000,99A24,64.1,10.15,1,54625,1,1,R,67.2,159.19,1,G,N,70,34.82533,YH
Nominal_area,1,1000000,99A24,64.1,10.15,1,54625,2,1,R,245.1,159.19,1,G,N,70,34.82533,HZ
Nominal_area,1,1000000,99A24,64.1,457.49,1,54626,1,1,R,67.2,159.28,1,G,N,70,34.82533,YH
Nominal_area,1,1000000,99A24,64.1,457.49,1,54626,2,0,R,245.1,159.28,1,G,N,70,34.82533,HZ
Nominal_area,1,1000000,99A24,64.1,96.3,1,54627,1,1,L,278.9,159.43,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,96.3,1,54627,2,1,L,67.2,159.43,1,G,N,70,34.82533,MH
Nominal_area,1,1000000,99A24,64.1,370.88,2,54628,1,1,L,278.9,159.55,2,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,370.88,2,54628,2,1,L,67.2,159.55,2,G,N,70,34.82533,MH
Nominal_area,1,1000000,99A24,64.1,143.3,1,54629,1,1,L,278.9,159.61,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,143.3,1,54629,2,1,L,67.2,159.61,1,G,N,70,34.82533,MH
Nominal_area,1,1000000,99A24,64.1,267.97,1,54630,1,1,L,278.9,159.68,1,G,N,70,34.82533,MF
Nominal_area,1,1000000,99A24,64.1,267.97,1,54630,2,1,L,67.2,159.68,1,G,N,70,34.82533,MH
Nominal_area,1,1000000,99A24,64.1,24.02,1,54632,1,1,R,67.2,160.66,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,24.02,1,54632,2,1,R,245.1,160.66,1,G,N,70,34.66162,HZ
Nominal_area,1,1000000,99A24,64.1,326.25,1,54634,1,1,R,67.2,161,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,326.25,1,54634,2,1,R,245.1,161,1,G,N,70,34.66162,HZ
Nominal_area,1,1000000,99A24,64.1,549.23,1,54635,1,1,R,67.2,161.06,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,549.23,1,54635,2,0,R,245.1,161.06,1,G,N,70,34.66162,HZ
Nominal_area,1,1000000,99A24,64.1,433.6,2,54636,1,1,R,67.2,161.13,2,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,433.6,2,54636,2,1,R,245.1,161.13,2,G,N,70,34.66162,HZ
Nominal_area,1,1000000,99A24,64.1,85.49,1,54637,1,1,L,278.9,161.23,1,G,N,70,34.66162,MF
Nominal_area,1,1000000,99A24,64.1,85.49,1,54637,2,1,L,67.2,161.23,1,G,N,70,34.66162,MH
Nominal_area,1,1000000,99A24,64.1,498.07,1,54638,1,1,R,67.2,161.34,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,498.07,1,54638,2,1,R,245.1,161.34,1,G,N,70,34.66162,HZ
Nominal_area,1,1000000,99A24,64.1,200.23,1,54639,1,1,R,67.2,161.48,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,200.23,1,54639,2,1,R,245.1,161.48,1,G,N,70,34.66162,HZ
Nominal_area,1,1000000,99A24,64.1,487.3,2,54642,1,1,L,278.9,161.68,2,G,N,70,34.66162,MF
Nominal_area,1,1000000,99A24,64.1,487.3,2,54642,2,1,L,67.2,161.68,2,G,N,70,34.66162,MH
Nominal_area,1,1000000,99A24,64.1,290.49,2,54643,1,1,L,278.9,161.76,2,G,N,70,34.66162,MF
Nominal_area,1,1000000,99A24,64.1,290.49,2,54643,2,1,L,67.2,161.76,2,G,N,70,34.66162,MH
Nominal_area,1,1000000,99A24,64.1,174.58,1,54644,1,1,R,67.2,161.9,1,G,N,70,34.66162,YH
Nominal_area,1,1000000,99A24,64.1,174.58,1,54644,2,0,R,245.1,161.9,1,G,N,70,34.66162,HZ
Nominal_area,1,1000000,99A24,64.1,334.5,4,54645,1,1,R,67.2,163.06,3,G,N,70,34.47075,YH
Nominal_area,1,1000000,99A24,64.1,334.5,4,54645,2,1,R,245.1,163.06,3,G,N,70,34.47075,HZ
Nominal_area,1,1000000,99A24,64.1,522.47,1,54646,1,1,L,278.9,163.48,1,G,N,70,34.47075,MF
Nominal_area,1,1000000,99A24,64.1,522.47,1,54646,2,1,L,67.2,163.48,1,G,N,70,34.47075,MH
Nominal_area,1,1000000,99A24,64.1,194.03,2,54647,1,1,L,278.9,164.21,2,G,N,33,34.25055,MF
Nominal_area,1,1000000,99A24,64.1,194.03,2,54647,2,1,L,67.2,164.21,2,G,N,33,34.25055,MH
Nominal_area,1,1000000,99A24,64.1,300.48,1,54648,1,1,L,278.9,164.86,1,G,N,33,34.25055,MF
Nominal_area,1,1000000,99A24,64.1,300.48,1,54648,2,1,L,67.2,164.86,1,G,N,33,34.25055,MH
Nominal_area,1,1000000,99A25,30.15,243.26,1,54650,1,1,R,91,175.3,1,G,N,52,32.61304,YH
